"","HomeTeam","AwayTeam","Season","Date","FTHG","FTAG","FTR","HTHG","ATHG","HTR","OddsH","OddsD","OddsA","BetVictorH","BetVictorD","BetVictorA","tenBetH","tenBetD","tenBetA","EighteenBetH","EighteenBetD","EighteenBetA","UnibetH","UnibetD","UnibetA","bwinH","bwinD","bwinA","PinnacleH","PinnacleD","PinnacleA"
"1:290","Bohemians","Cork City",8,"2016-05-10",0,1,"A",0,0,"D",4.8,3.4,1.8,4.8,3.4,1.8,4.8,3.3,1.77,4.3,3.3,1.84,4.75,3.5,1.7,5,3.3,1.67,NA,NA,NA
"1:291","Dundalk","Bray",8,"2016-05-10",1,0,"H",1,0,"H",1.13,8,22,1.13,8,22,1.14,7,18,1.14,6.53,21.67,1.17,6.5,15,1.17,6,13,1.21,7.3,17
"1:292","Galway","St. Patricks",8,"2016-05-10",0,3,"A",0,1,"A",2.7,3.2,2.63,2.7,3.2,2.63,2.75,3,2.65,2.66,3.12,2.62,2.65,3.15,2.65,2.6,3,2.6,2.79,3.25,2.79
"1:293","Finn Harps","Dundalk",8,"2016-05-13",0,7,"A",0,4,"A",15,5.75,1.22,15,5.75,1.22,14,5.55,1.22,14.17,4.98,1.23,13,5.75,1.22,9.5,5,1.26,15.12,6.19,1.25
"1:294","St. Patricks","Longford",8,"2016-05-13",3,3,"D",0,0,"D",1.3,5.4,9.5,1.3,5.4,9.5,1.28,5.2,9.5,1.31,4.77,9.57,1.27,5.25,10,1.28,4.75,9,1.32,5.71,10.52
"1:295","Wexford","Shamrock Rovers",8,"2016-05-13",2,0,"H",1,0,"H",6.25,4.1,1.53,6.25,4.1,1.53,6.2,3.95,1.51,5.53,4.15,1.52,6.5,4,1.5,5.75,3.7,1.53,7.09,4.18,1.55
"1:296","Cork City","Derry City",8,"2016-05-13",2,1,"H",0,0,"D",1.6,3.6,6.25,1.6,3.6,6.25,1.59,3.6,5.9,1.61,3.68,5.37,1.6,3.75,5.5,1.6,3.6,5,1.64,3.71,6.9
"1:297","Sligo Rovers","Bohemians",8,"2016-05-14",1,0,"H",1,0,"H",1.95,3.4,4,1.95,3.4,4,1.95,3.3,3.8,1.98,3.35,3.6,2,3.3,3.65,1.95,3.2,3.6,1.99,3.53,4.19
"1:298","Bray","Galway",8,"2016-05-14",1,2,"A",0,1,"A",2.55,3.4,2.7,2.55,3.4,2.7,2.55,3.25,2.6,2.52,3.3,2.64,2.65,3.3,2.5,2.6,3.2,2.5,2.68,3.4,2.79
"1:299","St. Patricks","Finn Harps",8,"2016-05-17",4,0,"H",2,0,"H",1.55,4,6,1.55,4,6,1.54,3.95,5.8,1.58,3.63,5.75,1.5,4.2,6,1.44,4.2,6,1.61,4.19,5.98
"1:300","Derry City","Bray",8,"2016-05-29",2,0,"H",2,0,"H",1.65,3.7,5.5,1.65,3.7,5.5,1.63,3.6,5.4,1.65,3.65,5,1.67,3.5,5.25,1.65,3.5,4.75,1.65,3.91,6.08
"1:301","Dundalk","Wexford",8,"2016-05-29",3,2,"H",1,1,"D",1.1,9.5,22,1.1,9.5,22,1.11,8,19.25,1.13,6.7,21,1.12,8,19,1.14,7,12.5,1.15,9.54,21.03
"1:302","Bohemians","St. Patricks",8,"2016-05-29",5,1,"H",4,0,"H",2.88,3.1,2.6,2.88,3.1,2.6,2.8,3.05,2.55,2.86,2.93,2.58,2.75,3.15,2.55,2.7,3.1,2.45,2.91,3.19,2.72
